,Regime,Trial,Chem,Conc_in,Conc_out,Normconc,base,rel_normconc,Variance,Anisotropy,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction,spatial_normmassflux_base,spatial_reldelmassflux_base,normmassflux_spatial_fraction,reldelmassflux_spatial_fraction,k,tau,Da
222,Slow,73,DOC,799.9999999999998,312.8465175243212,0.39105814690540164,0.407627887222348,0.9593508176541707,10.0,2,-0.449040362,-0.17560089199999998,-0.27343947,60.89418531,0.391058147,200.0,0.975609756,0.407627887,59.23721128,0.959350818,1.027971844,0.004694495083702261,211.79109906741257,0.9443267487664366
223,Slow,73,DO,249.99999999999997,1.0754911077873521,0.004301964431149409,0.004272559714409002,1.0068822248735907,10.0,2,-0.140325113,-0.000603674,-0.139721439,99.56980356,0.004301964,200.0,0.975609756,0.00427256,99.57274403,1.006882225,0.9999704690000001,0.027243417580754627,36.49513760146706,5.480182104915814
224,Slow,73,Ammonium,59.999999999999986,47.79214511621332,0.7965357519368889,0.8021345808492499,0.9930200878430732,10.0,2,-0.033678027,-0.026825752999999997,-0.006852274,20.34642481,0.796535752,200.0,0.975609756,0.8021345809999999,19.78654192,0.993020088,1.028296147,0.0011374163217036293,874.1322366947132,0.22879833462754343
225,Slow,73,Nitrate,249.99999999999997,67.96726630097524,0.271869065203901,0.25330062199970477,1.0733059518670185,10.0,2,-0.140325113,-0.038150057,-0.102175056,72.81309348,0.271869065,200.0,0.975609756,0.253300622,74.6699378,1.0733059520000001,0.975132639,0.006512173532562622,152.67594887825666,1.30996402163827
226,Slow,73,Nitrogen,312.4,144.5843656783576,0.4628180719537696,0.43009951825178405,1.076072053823673,10.0,2,-0.175350261,-0.08115527,-0.09419499099999999,53.7181928,0.462818072,200.0,0.975609756,0.43009951799999996,56.99004817,1.0760720540000002,0.942589005,0.003852106176297829,258.10614449350925,0.7748750049808656
227,Slow,73,TOC,824.0000000000003,601.0960601360116,0.7294855098738002,0.6737875015626694,1.0826640568160648,10.0,2,-0.46251157200000004,-0.33739549,-0.125116082,27.05144901,0.72948551,200.0,0.975609756,0.673787502,32.62124984,1.0826640570000001,0.8292585090000001,0.0015770788715468676,630.4391563934028,0.3172391783913835
228,Slow,74,DOC,800.0,327.08462401952227,0.4088557800244028,0.407627887222348,1.0030122885125008,10.0,5,-0.45544221,-0.18621018,-0.26923203,59.114422,0.40885578,127.5,0.62195122,0.407627887,59.23721128,1.0030122890000002,0.99792716,0.007014845499609863,141.7354485425464,0.8995632448415106
229,Slow,74,DO,250.00000000000003,1.1288810501281188,0.004515524200512475,0.004272559714409002,1.0568662587170137,10.0,5,-0.142325691,-0.000642675,-0.141683016,99.54844758,0.004515524,127.5,0.62195122,0.00427256,99.57274403,1.056866259,0.999755993,0.042354776445932434,23.47438368876931,5.431452501178932
230,Slow,74,Ammonium,60.00000000000001,48.246932990932336,0.8041155498488721,0.8021345808492499,1.0024696217404376,10.0,5,-0.034158166000000004,-0.027467112000000002,-0.006691054,19.58844502,0.80411555,127.5,0.62195122,0.8021345809999999,19.78654192,1.002469622,0.9899883009999999,0.0017099004032330473,581.4679448369938,0.2192726204980101
231,Slow,74,Nitrate,250.00000000000003,67.87793920070446,0.2715117568028178,0.25330062199970477,1.0718953418248387,10.0,5,-0.142325691,-0.038643098,-0.10368259199999999,72.84882432,0.271511757,127.5,0.62195122,0.253300622,74.6699378,1.0718953420000001,0.9756111559999999,0.010225488920820133,97.23273684444256,1.3112867552415028
232,Slow,74,Nitrogen,312.4,141.4389049265258,0.4527493755650634,0.43009951825178405,1.0526618988213325,10.0,5,-0.177850183,-0.080521559,-0.097328624,54.72506244,0.45274937600000004,127.5,0.62195122,0.43009951799999996,56.99004817,1.052661899,0.9602564690000001,0.006215031854308114,159.9754106899186,0.7969974851143474
233,Slow,74,TOC,824.0000000000001,580.2249513684122,0.704156494379141,0.6737875015626694,1.045072063144595,10.0,5,-0.46910547700000005,-0.330323668,-0.138781809,29.58435056,0.704156494,127.5,0.62195122,0.673787502,32.62124984,1.0450720629999999,0.9069042629999999,0.0027510168970617073,361.4126377797981,0.35278235089743415
234,Slow,75,DOC,800.0,325.3090995330493,0.4066363744163116,0.407627887222348,0.9975676031078424,10.0,10,-0.451782714,-0.183711285,-0.26807142899999997,59.33636256,0.40663637399999997,125.0,0.609756098,0.407627887,59.23721128,0.997567603,1.001673801,0.007198687374700925,138.1157732780657,0.9050378319088873
235,Slow,75,DO,249.99999999999991,1.1463528523490736,0.004585411409396296,0.004272559714409002,1.0732234809807846,10.0,10,-0.141182098,-0.000647378,-0.14053472,99.54145886,0.004585411,125.0,0.609756098,0.00427256,99.57274403,1.0732234809999999,0.9996858059999999,0.04307900358302346,23.079741652513082,5.416005165135336
236,Slow,75,Ammonium,60.0,48.32588186883052,0.8054313644805087,0.8021345808492499,1.00411001309502,10.0,10,-0.033883704,-0.027290997999999997,-0.006592705999999999,19.45686355,0.805431364,125.0,0.609756098,0.8021345809999999,19.78654192,1.004110013,0.983338253,0.0017310183086869757,574.3742098822942,0.2176281557377308
237,Slow,75,Nitrate,249.99999999999991,68.29539248069976,0.27318156992279913,0.25330062199970477,1.0784875606152975,10.0,10,-0.141182098,-0.038568347,-0.102613751,72.68184301,0.27318157,125.0,0.609756098,0.253300622,74.6699378,1.078487561,0.973374897,0.010380948908640546,95.77662717483415,1.3051200870941138
238,Slow,75,Nitrogen,312.4000000000001,140.52627700152243,0.4498280313749116,0.43009951825178405,1.045869647107064,10.0,10,-0.17642115,-0.079359179,-0.097061971,55.01719686,0.449828031,125.0,0.609756098,0.43009951799999996,56.99004817,1.045869647,0.9653825290000001,0.006391119374054746,155.56778322434604,0.803508267645211
239,Slow,75,TOC,824.0000000000002,564.3591260529706,0.6849018520060322,0.6737875015626694,1.0164953348312131,10.0,10,-0.46533619600000004,-0.31870962199999997,-0.146626573,31.509814799999997,0.684901852,125.0,0.609756098,0.673787502,32.62124984,1.016495335,0.9659291090000001,0.0030278378618299206,328.3703813463034,0.38066770665340083
240,Slow,76,DOC,800.0000000000001,320.55607269519334,0.40069509086899163,0.407627887222348,0.9829923403901589,5.0,2,-0.460685374,-0.184594368,-0.276091006,59.93049091,0.400695091,187.5,0.9146341459999999,0.407627887,59.23721128,0.98299234,1.011703448,0.004877624068280958,203.83946352271374,0.9198415103712582
241,Slow,76,DO,250.00000000000009,1.0792348221933936,0.004316939288773573,0.004272559714409002,1.0103871162326656,5.0,2,-0.143964179,-0.000621485,-0.143342695,99.56830607,0.0043169390000000005,187.5,0.9146341459999999,0.00427256,99.57274403,1.010387116,0.99995543,0.02904111267092531,34.236025479122524,5.476687126382103
242,Slow,76,Ammonium,60.00000000000001,47.93950716359565,0.7989917860599274,0.8021345808492499,0.996081960727843,5.0,2,-0.034551403,-0.027606287,-0.0069451159999999994,20.10082139,0.798991786,187.5,0.9146341459999999,0.8021345809999999,19.78654192,0.9960819609999999,1.0158834970000001,0.001196824605568746,830.7418386267099,0.22570188629232177
243,Slow,76,Nitrate,250.00000000000009,65.94439466269378,0.26377757865077506,0.25330062199970477,1.041361748614587,5.0,2,-0.143964179,-0.037974522999999996,-0.10598965699999999,73.62224214,0.263777579,187.5,0.9146341459999999,0.253300622,74.6699378,1.041361749,0.9859689759999999,0.007107461525618235,139.88851993924553,1.3403530188283674
244,Slow,76,Nitrogen,312.4,140.91148986752043,0.45106110713034714,0.43009951825178405,1.0487366016213298,5.0,2,-0.179897639,-0.081144828,-0.098752811,54.89388929,0.451061107,187.5,0.9146341459999999,0.43009951799999996,56.99004817,1.048736602,0.963218861,0.004246146432689368,234.1540239143709,0.8007549768547558
245,Slow,76,TOC,823.9999999999999,590.8319531075034,0.7170290693052227,0.6737875015626694,1.0641768623523975,5.0,2,-0.474505936,-0.340234549,-0.134271386,28.29709307,0.7170290690000001,187.5,0.9146341459999999,0.673787502,32.62124984,1.064176862,0.867443559,0.0017740741132816643,560.4344631942738,0.3345618663979331
246,Slow,77,DOC,799.9999999999995,322.6084126037501,0.40326051575468785,0.407627887222348,0.9892858864553644,5.0,5,-0.456678928,-0.18416058,-0.272518348,59.67394842,0.403260516,187.5,0.9146341459999999,0.407627887,59.23721128,0.9892858859999999,1.007372682,0.004843586585652563,205.27191075493369,0.9134225881681839
247,Slow,77,DO,249.99999999999994,1.0691123008352446,0.004276449203340979,0.004272559714409002,1.0009103416200036,5.0,5,-0.142712165,-0.0006103009999999999,-0.142101864,99.57235508,0.004276449,187.5,0.9146341459999999,0.00427256,99.57274403,1.000910342,0.9999960940000001,0.029091371941896805,34.17687812488365,5.486165217164296
248,Slow,77,Ammonium,59.999999999999986,48.229272101226414,0.8038212016871071,0.8021345808492499,1.0021026656600087,5.0,5,-0.03425092,-0.027531615,-0.006719304000000001,19.61787983,0.8038212020000001,187.5,0.9146341459999999,0.8021345809999999,19.78654192,1.0021026659999999,0.9914759190000001,0.0011646849093114922,853.666313863054,0.21964085609928252
